ClientID,FullName,ProductType,MarketType,ClientType,PensionType,PAN,Age,Birthday,Gmail,FacebookLink
1,"GARCIA, MARIA C.","AFP PENSION","VIRGIN","POTENTIAL","RETIREE-OPTIONAL","2024000001",65,"1959-03-12","maria.garcia@gmail.com","facebook.com/maria.garcia"
2,"DELA CRUZ, JUAN P.","PNP INP","EXISTING","EXISTING","RETIREE-COMPULSORY","2024000002",72,"1952-07-05","juan.delacruz@gmail.com","facebook.com/juan.delacruz"
3,"SANTOS, MARIA L.","BFP ACTIVE","VIRGIN","POTENTIAL","TPPD-SPOUSE","2024000003",58,"1966-11-22","maria.santos@gmail.com","facebook.com/maria.santos"
4,"REYES, KRISTINE D.","AFP MINOR","FULLYPAID","EXISTING","POSTHUMOUS-MINOR","2024000004",42,"1982-02-18","kristine.reyes@gmail.com","facebook.com/kristine.reyes"
5,"SANTIAGO, ROSMAR S.","NAPOLCOM","OTHERS","POTENTIAL","TRANSFEREE-SPOUSE","2024000005",60,"1964-01-30","rosmar.santiago@gmail.com","facebook.com/rosmar.santiago"
10,"FERNANDEZ, ELENA S.","AFP PENSION","OTHERS","EXISTING","RETIREE-COMPULSORY","2024000010",70,"1954-06-09","elena.fernandez@gmail.com","facebook.com/elena.fernandez"
11,"BONIFACIO, ANDRES M.","BFP PENSION","VIRGIN","POTENTIAL","RETIREE-OPTIONAL","2024000011",67,"1957-12-01","andres.bonifacio@gmail.com","facebook.com/andres.bonifacio"
12,"RIZAL, JOSE P.","PNP INP","EXISTING","POTENTIAL","TPPD-RETIREE","2024000012",75,"1949-06-19","jose.rizal@gmail.com","facebook.com/jose.rizal"
13,"AQUINO, CORAZON C.","AFP MINOR","VIRGIN","POTENTIAL","POSTHUMOUS-SPOUSE","2024000013",52,"1972-09-23","corazon.aquino@gmail.com","facebook.com/corazon.aquino"
14,"MARCOS, FERDINAND E.","BFP STP","FULLYPAID","EXISTING","TRANSFEREE-MINOR","2024000014",68,"1956-12-30","ferdinand.marcos@gmail.com","facebook.com/ferdinand.marcos"
